E,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
(eV),keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV,keV
1.015,5.57696E-25,9.44018E-25,1.43701E-24,2.27144E-24,3.52011E-24,5.35919E-24,2.94354E-23,1.58866E-21,3.53817E-20,3.71456E-18,1.42385E-16,1.72398E-15,9.9307E-15,3.51474E-14,8.94989E-14,1.8132E-13,3.12139E-13,4.77244E-13,6.68106E-13,8.74916E-13,1.08836E-12,1.30052E-12,1.50526E-12,1.69808E-12,1.87592E-12,2.0369E-12,2.18005E-12,2.30505E-12,2.41208E-12,2.50169E-12
1.03,1.32514E-24,2.24309E-24,3.41449E-24,5.39719E-24,8.36415E-24,1.2734E-23,6.99416E-23,3.77483E-21,8.40705E-20,8.82619E-18,3.38322E-16,4.09635E-15,2.35964E-14,8.35138E-14,2.12659E-13,4.30835E-13,7.41675E-13,1.13398E-12,1.58749E-12,2.07889E-12,2.58605E-12,3.09018E-12,3.57666E-12,4.0348E-12,4.45737E-12,4.83989E-12,5.18002E-12,5.47703E-12,5.73136E-12,5.94428E-12
1.045,3.11416E-24,5.27137E-24,8.02422E-24,1.26837E-23,1.96562E-23,2.99255E-23,1.64367E-22,8.87105E-21,1.9757E-19,2.0742E-17,7.95075E-16,9.62664E-15,5.54527E-14,1.96262E-13,4.99759E-13,1.01248E-12,1.74297E-12,2.66492E-12,3.73068E-12,4.88551E-12,6.07734E-12,7.26209E-12,8.40534E-12,9.482E-12,1.04751E-11,1.1374E-11,1.21733E-11,1.28713E-11,1.3469E-11,1.39694E-11
1.06,7.23819E-24,1.22522E-23,1.86506E-23,2.94805E-23,4.56866E-23,6.95555E-23,3.82035E-22,2.06188E-20,4.59209E-19,4.82103E-17,1.84798E-15,2.23751E-14,1.28888E-13,4.56168E-13,1.16158E-12,2.3533E-12,4.05117E-12,6.19403E-12,8.67117E-12,1.13553E-11,1.41255E-11,1.68792E-11,1.95364E-11,2.20389E-11,2.4347E-11,2.64364E-11,2.82942E-11,2.99166E-11,3.13058E-11,3.24688E-11
1.075,1.66391E-23,2.81653E-23,4.2874E-23,6.77697E-23,1.05024E-22,1.59894E-22,8.78221E-22,4.73986E-20,1.05563E-18,1.10826E-16,4.24814E-15,5.14358E-14,2.96288E-13,1.04864E-12,2.67025E-12,5.40977E-12,9.31283E-12,1.42388E-11,1.99333E-11,2.61036E-11,3.24717E-11,3.88018E-11,4.49103E-11,5.0663E-11,5.59689E-11,6.0772E-11,6.50428E-11,6.87722E-11,7.19657E-11,7.46393E-11
1.09,3.78307E-23,6.40365E-23,9.74781E-23,1.54081E-22,2.38783E-22,3.63535E-22,1.99672E-21,1.07765E-19,2.40008E-18,2.51973E-16,9.65855E-15,1.16944E-13,6.73639E-13,2.38418E-12,6.07106E-12,1.22996E-11,2.11736E-11,3.23734E-11,4.53202E-11,5.9349E-11,7.38274E-11,8.82197E-11,1.02108E-10,1.15187E-10,1.27251E-10,1.38171E-10,1.47881E-10,1.5636E-10,1.63621E-10,1.697E-10
1.105,8.50686E-23,1.43997E-22,2.19196E-22,3.46477E-22,5.36943E-22,8.17468E-22,4.48996E-21,2.42328E-19,5.39697E-18,5.66604E-16,2.17189E-14,2.62969E-13,1.51479E-12,5.36123E-12,1.36518E-11,2.76578E-11,4.76124E-11,7.27969E-11,1.0191E-10,1.33456E-10,1.66013E-10,1.98377E-10,2.29607E-10,2.59017E-10,2.86144E-10,3.107E-10,3.32535E-10,3.51602E-10,3.67929E-10,3.81598E-10
1.12,1.89194E-22,3.2025E-22,4.87494E-22,7.70568E-22,1.19417E-21,1.81806E-21,9.98572E-21,5.38941E-19,1.20029E-17,1.26013E-15,4.8303E-14,5.84845E-13,3.36891E-12,1.19234E-11,3.03617E-11,6.15112E-11,1.0589E-10,1.61901E-10,2.26649E-10,2.96808E-10,3.69215E-10,4.41192E-10,5.10648E-10,5.76058E-10,6.36389E-10,6.91001E-10,7.39562E-10,7.81967E-10,8.18278E-10,8.48678E-10
1.135,4.16155E-22,7.04431E-22,1.0723E-21,1.69496E-21,2.62672E-21,3.99905E-21,2.19649E-20,1.18547E-18,2.6402E-17,2.77182E-15,1.06249E-13,1.28644E-12,7.41034E-12,2.62271E-11,6.67845E-11,1.35302E-10,2.3292E-10,3.56122E-10,4.98544E-10,6.52867E-10,8.12136E-10,9.70457E-10,1.12323E-09,1.26711E-09,1.39982E-09,1.51994E-09,1.62676E-09,1.72004E-09,1.79991E-09,1.86677E-09
1.15,9.05349E-22,1.5325E-21,2.33281E-21,3.68741E-21,5.71446E-21,8.69997E-21,4.77847E-20,2.579E-18,5.74377E-17,6.03013E-15,2.31145E-13,2.79866E-12,1.61213E-11,5.70573E-11,1.4529E-10,2.9435E-10,5.06718E-10,7.74747E-10,1.08459E-09,1.42032E-09,1.76681E-09,2.11124E-09,2.44361E-09,2.75661E-09,3.04531E-09,3.30665E-09,3.53903E-09,3.74195E-09,3.91571E-09,4.06118E-09
1.165,1.948E-21,3.2974E-21,5.0194E-21,7.93402E-21,1.22955E-20,1.87193E-20,1.02816E-19,5.54911E-18,1.23586E-16,1.29748E-14,4.97344E-13,6.02176E-12,3.46874E-11,1.22768E-10,3.12615E-10,6.3334E-10,1.09028E-09,1.66699E-09,2.33366E-09,3.05603E-09,3.80156E-09,4.54266E-09,5.2578E-09,5.93128E-09,6.55247E-09,7.11478E-09,7.61478E-09,8.05139E-09,8.42526E-09,8.73827E-09
1.18,4.14547E-21,7.01708E-21,1.06816E-20,1.68841E-20,2.61657E-20,3.98359E-20,2.188E-19,1.18089E-17,2.62999E-16,2.76111E-14,1.05838E-12,1.28147E-11,7.3817E-11,2.61257E-10,6.65264E-10,1.34779E-09,2.32019E-09,3.54746E-09,4.96617E-09,6.50343E-09,8.08997E-09,9.66706E-09,1.11889E-08,1.26221E-08,1.39441E-08,1.51407E-08,1.62047E-08,1.71339E-08,1.79295E-08,1.85956E-08
1.195,8.72509E-21,1.47691E-20,2.24819E-20,3.55365E-20,5.50717E-20,8.38439E-20,4.60514E-19,2.48545E-17,5.53542E-16,5.81139E-14,2.2276E-12,2.69715E-11,1.55365E-10,5.49877E-10,1.4002E-09,2.83673E-09,4.88338E-09,7.46644E-09,1.04524E-08,1.3688E-08,1.70272E-08,2.03466E-08,2.35497E-08,2.65662E-08,2.93485E-08,3.18671E-08,3.41066E-08,3.60622E-08,3.77368E-08,3.91387E-08
1.21,1.81626E-20,3.07441E-20,4.67995E-20,7.39747E-20,1.1464E-19,1.74534E-19,9.58631E-19,5.17384E-17,1.15228E-15,1.20973E-13,4.6371E-12,5.61452E-11,3.23416E-10,1.14465E-09,2.91473E-09,5.90509E-09,1.01655E-08,1.55425E-08,2.17584E-08,2.84936E-08,3.54447E-08,4.23545E-08,4.90223E-08,5.53016E-08,6.10934E-08,6.63362E-08,7.09981E-08,7.5069E-08,7.85549E-08,8.14732E-08
1.225,3.73937E-20,6.32968E-20,9.63521E-20,1.52301E-19,2.36025E-19,3.59336E-19,1.97366E-18,1.06521E-16,2.37235E-15,2.49063E-13,9.54699E-12,1.15593E-10,6.65858E-10,2.35664E-09,6.00094E-09,1.21576E-08,2.0929E-08,3.19994E-08,4.47968E-08,5.86635E-08,7.29747E-08,8.72007E-08,1.00928E-07,1.13857E-07,1.25781E-07,1.36575E-07,1.46173E-07,1.54554E-07,1.61731E-07,1.67739E-07
1.24,7.61432E-20,1.28888E-19,1.96198E-19,3.10124E-19,4.80607E-19,7.31699E-19,4.01887E-18,2.16903E-16,4.83072E-15,5.07156E-13,1.94401E-11,2.35378E-10,1.35586E-09,4.79873E-09,1.22194E-08,2.47559E-08,4.26169E-08,6.5159E-08,9.12177E-08,1.19454E-07,1.48595E-07,1.77563E-07,2.05516E-07,2.31841E-07,2.56122E-07,2.78102E-07,2.97645E-07,3.14712E-07,3.29326E-07,3.4156E-07
1.255,1.53347E-19,2.59572E-19,3.95128E-19,6.24568E-19,9.67908E-19,1.47359E-18,8.09372E-18,4.36827E-16,9.72873E-15,1.02138E-12,3.9151E-11,4.74034E-10,2.7306E-09,9.6643E-09,2.46091E-08,4.98567E-08,8.58273E-08,1.31226E-07,1.83706E-07,2.40572E-07,2.9926E-07,3.57599E-07,4.13895E-07,4.66912E-07,5.15812E-07,5.60077E-07,5.99437E-07,6.33807E-07,6.63238E-07,6.87878E-07
1.27,3.05444E-19,5.17028E-19,7.87034E-19,1.24404E-18,1.92792E-18,2.93517E-18,1.61214E-17,8.70093E-16,1.93781E-14,2.03442E-12,7.79828E-11,9.44204E-10,5.43893E-09,1.92498E-08,4.90175E-08,9.93069E-08,1.70955E-07,2.61381E-07,3.65914E-07,4.79182E-07,5.9608E-07,7.12282E-07,8.24415E-07,9.30017E-07,1.02742E-06,1.11559E-06,1.19399E-06,1.26245E-06,1.32107E-06,1.37015E-06
1.285,6.01726E-19,1.01855E-18,1.55046E-18,2.45078E-18,3.79803E-18,5.7823E-18,3.17594E-17,1.71409E-15,3.81751E-14,4.00783E-12,1.53627E-10,1.86009E-09,1.07147E-08,3.79223E-08,9.65649E-08,1.95635E-07,3.36783E-07,5.14923E-07,7.20854E-07,9.43992E-07,1.17428E-06,1.4032E-06,1.6241E-06,1.83214E-06,2.02402E-06,2.19772E-06,2.35216E-06,2.48703E-06,2.60252E-06,2.6992E-06
1.3,1.17241E-18,1.98455E-18,3.02094E-18,4.77511E-18,7.4001E-18,1.12663E-17,6.18802E-17,3.33975E-15,7.43806E-14,7.80889E-12,2.99327E-10,3.62421E-09,2.08767E-08,7.38881E-08,1.88148E-07,3.81177E-07,6.5619E-07,1.00328E-06,1.40452E-06,1.83928E-06,2.28798E-06,2.73401E-06,3.16442E-06,3.56976E-06,3.94362E-06,4.28205E-06,4.58297E-06,4.84575E-06,5.07077E-06,5.25915E-06
1.315,2.25928E-18,3.82432E-18,5.82148E-18,9.20186E-18,1.42603E-17,2.17106E-17,1.19246E-16,6.43584E-15,1.43335E-13,1.50481E-11,5.76817E-10,6.98402E-09,4.02303E-08,1.42386E-07,3.62569E-07,7.34546E-07,1.26451E-06,1.93337E-06,2.70657E-06,3.54438E-06,4.40904E-06,5.26856E-06,6.09797E-06,6.87908E-06,7.59953E-06,8.25169E-06,8.83159E-06,9.33798E-06,9.77159E-06,1.01346E-05
1.33,4.306E-18,7.28882E-18,1.10952E-17,1.7538E-17,2.7179E-17,4.13786E-17,2.27273E-16,1.22662E-14,2.73184E-13,2.86804E-11,1.09937E-09,1.33109E-08,7.66756E-08,2.71375E-07,6.91026E-07,1.39998E-06,2.41004E-06,3.68483E-06,5.15849E-06,6.75528E-06,8.40326E-06,1.00414E-05,1.16222E-05,1.31109E-05,1.44841E-05,1.5727E-05,1.68323E-05,1.77974E-05,1.86238E-05,1.93157E-05
1.345,8.11689E-18,1.37396E-17,2.09147E-17,3.30594E-17,5.12329E-17,7.79994E-17,4.28413E-16,2.3122E-14,5.14957E-13,5.4063E-11,2.07232E-09,2.50914E-08,1.44535E-07,5.11547E-07,1.3026E-06,2.63899E-06,4.54298E-06,6.94598E-06,9.72384E-06,1.27338E-05,1.58403E-05,1.89283E-05,2.19081E-05,2.47144E-05,2.73027E-05,2.96457E-05,3.17291E-05,3.35484E-05,3.51063E-05,3.64105E-05
1.36,1.51327E-17,2.56154E-17,3.89924E-17,6.16342E-17,9.5516E-17,1.45418E-16,7.98712E-16,4.31074E-14,9.6006E-13,1.00792E-10,3.86354E-09,4.67791E-08,2.69464E-07,9.53702E-07,2.4285E-06,4.92E-06,8.4697E-06,1.29497E-05,1.81286E-05,2.37403E-05,2.95319E-05,3.52889E-05,4.08444E-05,4.60762E-05,5.09018E-05,5.527E-05,5.91542E-05,6.2546E-05,6.54504E-05,6.78819E-05
1.375,2.79034E-17,4.72324E-17,7.18984E-17,1.13648E-16,1.76123E-16,2.68138E-16,1.47275E-15,7.94861E-14,1.77026E-12,1.85852E-10,7.12401E-09,8.62564E-08,4.96866E-07,1.75854E-06,4.47793E-06,9.07204E-06,1.56173E-05,2.38781E-05,3.34276E-05,4.3775E-05,5.44541E-05,6.50696E-05,7.53133E-05,8.49604E-05,9.38583E-05,0.000101913,0.000109075,0.000115329,0.000120684,0.000125168
1.39,5.08871E-17,8.61373E-17,1.31121E-16,2.07259E-16,3.21194E-16,4.89001E-16,2.68585E-15,1.44958E-13,3.22841E-12,3.38936E-10,1.2992E-08,1.57305E-07,9.0613E-07,3.20703E-06,8.16636E-06,1.65446E-05,2.84812E-05,4.35463E-05,6.09615E-05,7.9832E-05,9.93074E-05,0.000118667,0.000137348,0.000154941,0.000171169,0.000185858,0.000198919,0.000210325,0.000220091,0.000228268
1.405,9.17849E-17,1.55365E-16,2.36501E-16,3.73832E-16,5.79335E-16,8.82008E-16,4.84445E-15,2.6146E-13,5.82307E-12,6.11338E-10,2.34336E-08,2.8373E-07,1.63438E-06,5.78451E-06,1.47296E-05,2.98414E-05,5.13714E-05,7.85443E-05,0.000109956,0.000143993,0.00017912,0.000214039,0.000247734,0.000279467,0.000308736,0.000335231,0.000358789,0.000379362,0.000396977,0.000411725
1.42,1.63737E-16,2.77159E-16,4.21899E-16,6.66885E-16,1.03349E-15,1.57343E-15,8.6421E-15,4.66424E-13,1.03879E-11,1.09058E-09,4.18036E-08,5.06152E-07,2.91561E-06,1.03191E-05,2.62764E-05,5.32346E-05,9.16425E-05,0.000140117,0.000196153,0.000256871,0.000319536,0.000381828,0.000441938,0.000498547,0.00055076,0.000598024,0.000640051,0.00067675,0.000708175,0.000734485
1.435,2.8889E-16,4.89008E-16,7.44382E-16,1.17662E-15,1.82344E-15,2.7761E-15,1.52478E-14,8.22939E-13,1.8328E-11,1.92417E-09,7.37566E-08,8.93034E-07,5.14418E-06,1.82066E-05,4.63611E-05,9.3925E-05,0.00016169,0.000247216,0.000346084,0.000453213,0.000563776,0.000673681,0.000779737,0.000879616,0.000971738,0.001055129,0.00112928,0.00119403,0.001249476,0.001295895
1.45,5.04118E-16,8.53327E-16,1.29896E-15,2.05323E-15,3.18193E-15,4.84433E-15,2.66076E-14,1.43604E-12,3.19825E-11,3.3577E-09,1.28706E-07,1.55836E-06,8.97666E-06,3.17707E-05,8.09007E-05,0.0001639,0.000282152,0.000431396,0.000603921,0.000790863,0.000983797,0.001175583,0.001360652,0.001534941,0.001695696,0.001841215,0.001970609,0.0020836,0.002180353,0.002261355
1.465,8.70047E-16,1.47274E-15,2.24184E-15,3.54362E-15,5.49164E-15,8.36073E-15,4.59215E-14,2.47844E-12,5.51981E-11,5.795E-09,2.22132E-07,2.68954E-06,1.54926E-05,5.48325E-05,0.000139625,0.000282873,0.00048696,0.000744537,0.001042295,0.001364936,0.001697917,0.002028916,0.002348323,0.002649126,0.00292657,0.003177718,0.003401036,0.003596044,0.003763029,0.003902828
1.48,1.48513E-15,2.5139E-15,3.82673E-15,6.04882E-15,9.37399E-15,1.42714E-14,7.8386E-14,4.23058E-12,9.42207E-11,9.89181E-09,3.79169E-07,4.59092E-06,2.64453E-05,9.35968E-05,0.000238334,0.000482852,0.00083122,0.001270893,0.001779154,0.002329887,0.002898271,0.003463273,0.004008487,0.004521945,0.00499553,0.005424229,0.005805423,0.006138295,0.006423329,0.006661962
1.495,2.50726E-15,4.24408E-15,6.46045E-15,1.02119E-14,1.58256E-14,2.40936E-14,1.32335E-13,7.14225E-12,1.59067E-10,1.66998E-08,6.40129E-07,7.75059E-06,4.4646E-05,0.000158014,0.000402365,0.00081517,0.001403301,0.002145575,0.003003642,0.003933412,0.004892982,0.005846841,0.006767295,0.007634135,0.008433662,0.009157409,0.009800956,0.010362924,0.010844132,0.011247001
1.51,4.18646E-15,7.08647E-15,1.07872E-14,1.70511E-14,2.64244E-14,4.02298E-14,2.20963E-13,1.19256E-11,2.656E-10,2.78841E-08,1.06884E-06,1.29414E-05,7.45469E-05,0.000263841,0.000671842,0.001361115,0.002343135,0.003582533,0.005015273,0.00656774,0.008169964,0.009762651,0.011299561,0.012746951,0.014081946,0.01529041,0.01636496,0.017303295,0.018106783,0.018779466
1.525,6.91361E-15,1.17028E-14,1.78143E-14,2.81585E-14,4.36379E-14,6.64365E-14,3.64903E-13,1.96943E-11,4.38618E-10,4.60485E-08,1.76511E-06,2.13717E-05,0.000123108,0.000435713,0.001109495,0.002247777,0.003869507,0.005916279,0.008282339,0.010846118,0.013492069,0.01612227,0.018660358,0.021050612,0.023255253,0.025250938,0.027025475,0.028575065,0.029901962,0.031012847
1.54,1.12921E-14,1.91143E-14,2.90963E-14,4.59918E-14,7.12745E-14,1.08512E-13,5.96003E-13,3.2167E-11,7.16401E-10,7.52117E-08,2.88299E-06,3.49068E-05,0.000201075,0.000711657,0.001812156,0.00367133,0.006320129,0.009663154,0.01352768,0.017715142,0.022036816,0.026332766,0.030478268,0.034382308,0.037983185,0.041242769,0.04414115,0.046672119,0.048839362,0.050653789
1.555,1.82414E-14,3.08774E-14,4.70024E-14,7.42955E-14,1.15137E-13,1.75291E-13,9.62788E-13,5.19628E-11,1.15728E-09,1.21498E-07,4.6572E-06,5.63887E-05,0.000324818,0.001149616,0.002927372,0.005930696,0.010209586,0.015609936,0.021852721,0.02861718,0.035598447,0.042538158,0.049234835,0.055541452,0.061358337,0.066623896,0.071305963,0.075394511,0.078895492,0.081826532
