Distance_(pixels),Value,Y1
0,54786850816.000,55901523968.000
1,54786887680.000,55902044160.000
2,54786576384.000,55902154752.000
3,54785994752.000,55903051776.000
4,54785515520.000,55904751616.000
5,54784892928.000,55905521664.000
6,54783643648.000,55907110912.000
7,54782373888.000,55908962304.000
8,54781276160.000,55910719488.000
9,54780092416.000,55912587264.000
10,54778580992.000,55914606592.000
11,54777032704.000,55915986944.000
12,54775427072.000,55918030848.000
13,54773919744.000,55919792128.000
14,54772535296.000,55921278976.000
15,54770716672.000,55922974720.000
16,54769520640.000,55924359168.000
17,54768717824.000,55926087680.000
18,54767734784.000,55927910400.000
19,54767112192.000,55929393152.000
20,54767075328.000,55930830848.000
21,54767030272.000,55932669952.000
22,54767087616.000,55935135744.000
23,54767284224.000,55937675264.000
24,54767448064.000,55940632576.000
25,54767456256.000,55943323648.000
26,54768091136.000,55946780672.000
27,54767558656.000,55950573568.000
28,54767378432.000,55955038208.000
29,54766866432.000,55959175168.000
30,54766641152.000,55963590656.000
31,54766243840.000,55968047104.000
32,54765371392.000,55972904960.000
33,54765137920.000,55977697280.000
34,54765273088.000,55982215168.000
35,54765211648.000,55986696192.000
36,54765547520.000,55991459840.000
37,54766186496.000,55995613184.000
38,54767501312.000,55999246336.000
39,54768427008.000,56003018752.000
40,54770401280.000,56006746112.000
41,54772535296.000,56009990144.000
42,54774714368.000,56013266944.000
43,54777532416.000,56016687104.000
44,54780493824.000,56019673088.000
45,54783574016.000,56022589440.000
46,54786744320.000,56025145344.000
47,54790418432.000,56027828224.000
48,54794141696.000,56030650368.000
49,54798127104.000,56032559104.000
50,54802640896.000,56034889728.000
51,54807597056.000,56036339712.000
52,54812438528.000,56038543360.000
53,54817619968.000,56039968768.000
54,54822920192.000,56041570304.000
55,54828859392.000,56042971136.000
56,54835093504.000,56044081152.000
57,54841569280.000,56045469696.000
58,54847938560.000,56046292992.000
59,54854787072.000,56047239168.000
60,54861672448.000,56048041984.000
61,54868488192.000,56048562176.000
62,54875586560.000,56049160192.000
63,54882734080.000,56049487872.000
64,54889766912.000,56049938432.000
65,54896898048.000,56050098176.000
66,54904315904.000,56050278400.000
67,54911651840.000,56050577408.000
68,54918901760.000,56050655232.000
69,54926737408.000,56050597888.000
70,54934245376.000,56050819072.000
71,54942097408.000,56050909184.000
72,54949769216.000,56050798592.000
73,54957613056.000,56051011584.000
74,54966095872.000,56050556928.000
75,54974210048.000,56050331648.000
76,54982995968.000,56049799168.000
77,54991671296.000,56049291264.000
78,55000711168.000,56048119808.000
79,55010189312.000,56047542272.000
80,55019548672.000,56045903872.000
81,55028527104.000,56044564480.000
82,55037997056.000,56043175936.000
83,55046971392.000,56041144320.000
84,55056154624.000,56039321600.000
85,55065071616.000,56036900864.000
86,55074111488.000,56034656256.000
87,55083069440.000,56032030720.000
88,55092187136.000,56029753344.000
89,55101001728.000,56027254784.000
90,55109799936.000,56024948736.000
91,55118553088.000,56022499328.000
92,55127265280.000,56020189184.000
93,55136006144.000,56018247680.000
94,55144312832.000,56016072704.000
95,55152283648.000,56014065664.000
96,55160696832.000,56012324864.000
97,55168819200.000,56010678272.000
98,55177121792.000,56009175040.000
99,55185276928.000,56008052736.000
100,55193751552.000,56007393280.000
101,55201914880.000,56006557696.000
102,55210622976.000,56005783552.000
103,55219716096.000,56005767168.000
104,55228407808.000,56005873664.000
105,55237771264.000,56006496256.000
106,55246946304.000,56007217152.000
107,55256305664.000,56008265728.000
108,55265316864.000,56009441280.000
109,55275012096.000,56010989568.000
110,55284432896.000,56012533760.000
111,55293882368.000,56014274560.000
112,55303380992.000,56015941632.000
113,55312281600.000,56017690624.000
114,55321903104.000,56019570688.000
115,55330983936.000,56021463040.000
116,55340199936.000,56023437312.000
117,55348744192.000,56025403392.000
118,55357710336.000,56027242496.000
119,55366307840.000,56028860416.000
120,55375278080.000,56030773248.000
121,55383805952.000,56032628736.000
122,55392489472.000,56034414592.000
123,55400808448.000,56036573184.000
124,55408521216.000,56038273024.000
125,55416590336.000,56040398848.000
126,55423787008.000,56042139648.000
127,55430610944.000,56044400640.000
128,55437111296.000,56046317568.000
129,55442792448.000,56048672768.000
130,55448059904.000,56050765824.000
131,55452905472.000,56053014528.000
132,55457071104.000,56055177216.000
133,55461396480.000,56057225216.000
134,55464701952.000,56059351040.000
135,55467941888.000,56061349888.000
136,55471570944.000,56063328256.000
137,55474606080.000,56065728512.000
138,55477796864.000,56066813952.000
139,55480844288.000,56069087232.000
140,55483645952.000,56070692864.000
141,55486545920.000,56072581120.000
142,55489482752.000,56073994240.000
143,55492481024.000,56075407360.000
144,55495671808.000,56077090816.000
145,55498293248.000,56078802944.000
146,55501131776.000,56079908864.000
147,55503847424.000,56081047552.000
148,55505887232.000,56082870272.000
149,55508041728.000,56083537920.000
150,55509962752.000,56084721664.000
151,55511228416.000,56085135360.000
152,55512580096.000,56085647360.000
153,55513407488.000,56086024192.000
154,55513833472.000,56086401024.000
155,55514206208.000,56086163456.000
156,55514140672.000,56086355968.000
157,55514251264.000,56085958656.000
158,55514030080.000,56086179840.000
159,55513755648.000,56085778432.000
160,55513444352.000,56085970944.000
161,55512772608.000,56086228992.000
162,55512145920.000,56086491136.000
163,55511408640.000,56086773760.000
164,55510945792.000,56087715840.000
165,55510556672.000,56088326144.000
166,55509729280.000,56089427968.000
167,55509315584.000,56090689536.000
168,55508406272.000,56091844608.000
169,55507714048.000,56093564928.000
170,55506997248.000,56095391744.000
171,55506128896.000,56097357824.000
172,55505272832.000,56099479552.000
173,55503945728.000,56101408768.000
174,55502790656.000,56103866368.000
175,55501234176.000,56106471424.000
176,55499415552.000,56109146112.000
177,55497248768.000,56111890432.000
178,55495815168.000,56114364416.000
179,55493955584.000,56117825536.000
180,55492870144.000,56120905728.000
181,55491801088.000,56124522496.000
182,55491149824.000,56127291392.000
183,55490994176.000,56130699264.000
184,55490756608.000,56133369856.000
185,55491448832.000,56136953856.000
186,55491960832.000,56139735040.000
187,55493201920.000,56142536704.000
188,55494479872.000,56145326080.000
189,55496093696.000,56148049920.000
190,55497859072.000,56150659072.000
191,55499530240.000,56153305088.000
192,55501492224.000,56155750400.000
193,55503319040.000,56158699520.000
194,55505256448.000,56161325056.000
195,55507365888.000,56164233216.000
196,55509630976.000,56166547456.000
197,55511654400.000,56169615360.000
198,55513530368.000,56172400640.000
199,55515574272.000,56175202304.000
200,55517446144.000,56178106368.000
201,55519354880.000,56180826112.000
202,55521239040.000,56184020992.000
203,55522787328.000,56186695680.000
204,55524417536.000,56190009344.000
205,55526166528.000,56192847872.000
206,55527542784.000,56195940352.000
207,55529107456.000,56199315456.000
208,55530147840.000,56202592256.000
209,55530782720.000,56206159872.000
210,55531835392.000,56209227776.000
211,55532990464.000,56212652032.000
212,55533510656.000,56216162304.000
213,55534690304.000,56219627520.000
214,55536496640.000,56222912512.000
215,55538135040.000,56225857536.000
216,55540285440.000,56228425728.000
217,55542603776.000,56230653952.000
218,55545118720.000,56232693760.000
219,55547510784.000,56234037248.000
220,55549710336.000,56234631168.000
221,55552794624.000,56235302912.000
222,55555846144.000,56235483136.000
223,55559024640.000,56234938368.000
224,55562145792.000,56234967040.000
225,55565516800.000,56234225664.000
226,55569235968.000,56233725952.000
227,55573131264.000,56232968192.000
228,55576784896.000,56232267776.000
229,55581077504.000,56231579648.000
230,55584866304.000,56231219200.000
231,55588913152.000,56231084032.000
232,55593000960.000,56231350272.000
233,55597129728.000,56231669760.000
234,55600934912.000,56232017920.000
235,55604850688.000,56232882176.000
236,55608557568.000,56233885696.000
237,55612039168.000,56235143168.000
238,55615053824.000,56236171264.000
239,55618187264.000,56237719552.000
240,55620497408.000,56238923776.000
241,55622791168.000,56240193536.000
242,55624749056.000,56241627136.000
243,55626334208.000,56243007488.000
244,55627931648.000,56244051968.000
245,55628996608.000,56245059584.000
246,55630385152.000,56245731328.000
247,55631585280.000,56246366208.000
248,55632293888.000,56247324672.000
249,55633420288.000,56247795712.000
250,55634546688.000,56248455168.000
251,55635591168.000,56248782848.000
252,55636516864.000,56249372672.000
253,55637495808.000,56249643008.000
254,55637671936.000,56249495552.000
255,55638147072.000,56249470976.000
256,55637901312.000,56249630720.000
257,55637024768.000,56248946688.000
258,55636013056.000,56248569856.000
259,55634325504.000,56248246272.000
260,55631798272.000,56247328768.000
261,55629053952.000,56246292480.000
262,55625392128.000,56245288960.000
263,55621718016.000,56244199424.000
264,55617073152.000,56242909184.000
265,55612186624.000,56241774592.000
266,55607660544.000,56240820224.000
267,55602851840.000,56240529408.000
268,55598235648.000,56240345088.000
269,55593455616.000,56240017408.000
270,55589109760.000,56240525312.000
271,55584874496.000,56240951296.000
272,55581102080.000,56242077696.000
273,55577235456.000,56243519488.000
274,55573831680.000,56245313536.000
275,55570714624.000,56247427072.000
276,55567896576.000,56249516032.000
277,55564677120.000,56251723776.000
278,55561854976.000,56254193664.000
279,55558758400.000,56256655360.000
280,55555760128.000,56258977792.000
281,55552937984.000,56260968448.000
282,55550103552.000,56263225344.000
283,55548112896.000,56264818688.000
284,55545520128.000,56266018816.000
285,55543668736.000,56267177984.000
286,55541854208.000,56267227136.000
